"","X","model_scenario","temp","Value","L","share2030","u2030","Value2040","nuclear_value","wind_value","solar_value","group"
"63",283,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1000_COV_NDCp","2.0°C",39.6516115154957,14110.87328331,0.188163573863438,44.6365858352649,1588.70206235255,37.4342735933561,30.3349692446953,45.7240492640159,"below solar"
"64",284,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1000_NDCp","2.0°C",55.0965088381155,14651.0276445982,0.261456107687499,41.7162003475388,1800.19303599348,36.1532601649417,30.1126019186402,42.6154965309782,"below solar"
"65",285,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1000f","2.0°C",34.67,10518.9047679975,0.164523731987438,44.441611527654,1370.49385781023,37.8042633159259,29.9583390275167,46.7758566576754,"below solar"
"66",286,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1000f_COV","2.0°C",34.67,9895.67186974798,0.164523731987438,41.6621663515914,1128.47678899823,37.8042633159259,29.9583390275167,46.7758566576754,"below solar"
"67",287,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1000f_COV_NDCp","2.0°C",39.6516115154957,9874.73391470259,0.188163573863438,39.0993782064047,1075.258115189,37.4342735933561,30.3349692446953,45.7240492640159,"below solar"
"68",288,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1000f_NDCp","2.0°C",55.0965088381155,10516.1214309338,0.261456107687499,38.288199472581,1409.20865513267,36.1532601649417,30.1126019186402,42.6154965309782,"below solar"
"69",289,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1200","2.0°C",34.67,14102.0178323612,0.164523731987438,44.9521424070794,1419.71191830353,37.8042633159259,29.9583390275167,46.7758566576754,"below solar"
"70",290,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1200_COV","2.0°C",34.67,13673.4617036772,0.164523731987438,42.2974179768797,1180.11420875576,37.8042633159259,29.9583390275167,46.7758566576754,"below solar"
"71",291,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1200_COV_NDCp","2.0°C",39.6516115154957,13122.7309139504,0.188163573863438,39.900628780119,1138.82634880111,37.4342735933561,30.3349692446953,45.7240492640159,"below solar"
"72",292,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1200_NDCp","2.0°C",55.0965088381155,14226.5633308645,0.261456107687499,38.6273489841506,1444.15318537662,36.1532601649417,30.1126019186402,42.6154965309782,"below solar"
"73",293,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1200f","2.0°C",34.67,10005.567577318,0.164523731987438,38.5915231327269,906.401298301998,37.8042633159259,29.9583390275167,46.7758566576754,"below solar"
"74",294,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1200f_COV","2.0°C",34.67,10585.0175923866,0.164523731987438,36.8986083710149,801.575021695911,37.8042633159259,29.9583390275167,46.7758566576754,"below nuclear"
"75",295,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1200f_COV_NDCp","2.0°C",39.6516115154957,10493.1433964402,0.188163573863438,34.9771265045944,795.907552265071,37.4342735933561,30.3349692446953,45.7240492640159,"below nuclear"
"76",296,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1200f_NDCp","2.0°C",55.0965088381155,10005.5876984872,0.261456107687499,33.0398184317504,957.06297606145,36.1532601649417,30.1126019186402,42.6154965309782,"below nuclear"
"77",297,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1400","2.0°C",34.67,12760.7935089376,0.164523731987438,37.9838013039983,867.430908214178,37.8042633159259,29.9583390275167,46.7758566576754,"below solar"
"78",298,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1400_COV","2.0°C",34.67,13585.7760285388,0.164523731987438,36.1406845461228,758.286181392281,37.8042633159259,29.9583390275167,46.7758566576754,"below nuclear"
"79",299,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1400_COV_NDCp","2.0°C",39.6516115154957,13541.2032896734,0.188163573863438,34.1199778662439,746.78497820172,37.4342735933561,30.3349692446953,45.7240492640159,"below nuclear"
"80",300,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1400_NDCp","2.0°C",55.0965088381155,12724.7837853339,0.261456107687499,32.5140506443859,919.905840786233,36.1532601649417,30.1126019186402,42.6154965309782,"below nuclear"
"81",301,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1400f","2.0°C",34.67,10904.7466197603,0.164523731987438,35.2232825834648,708.710039800564,37.8042633159259,29.9583390275167,46.7758566576754,"below nuclear"
"82",302,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1400f_COV","2.0°C",34.67,12246.788150201,0.164523731987438,32.7482314670716,589.170889962207,37.8042633159259,29.9583390275167,46.7758566576754,"below nuclear"
"83",303,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1400f_COV_NDCp","2.0°C",39.6516115154957,12435.2476597485,0.188163573863438,31.0666771904916,593.176224791605,37.4342735933561,30.3349692446953,45.7240492640159,"below nuclear"
"84",304,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1400f_NDCp","2.0°C",55.0965088381155,10991.3225500498,0.261456107687499,29.8503446461239,750.85339279278,36.1532601649417,30.1126019186402,42.6154965309782,"below wind"
"85",306,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1600_COV","2.0°C",34.67,13215.8488676537,0.164523731987438,29.5979761819066,463.378668787973,37.8042633159259,29.9583390275167,46.7758566576754,"below wind"
"86",307,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_1600_COV_NDCp","2.0°C",39.6516115154957,13150.4096142288,0.188163573863438,27.3806899207616,445.960927904144,37.4342735933561,30.3349692446953,45.7240492640159,"below wind"
"87",337,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_600f_COV","1.5°C",34.67,12216.386563388,0.164523731987438,48.0240270402382,1750.95906572488,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"88",338,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_600f_COV_NDCp","1.5°C",39.6516115154957,12060.0331193697,0.188163573863438,45.7345624462674,1713.50926222492,37.4342735933561,30.3349692446953,45.7240492640159,"above"
"89",339,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_700f","1.5°C",34.67,12189.6580694668,0.164523731987438,48.086945165907,1758.4158296559,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"90",340,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_700f_COV","1.5°C",34.67,11568.940897345,0.164523731987438,46.9740997186532,1630.65440463146,37.8042633159259,29.9583390275167,46.7758566576754,"above"
"91",341,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_700f_COV_NDCp","1.5°C",39.6516115154957,11275.8034327888,0.188163573863438,44.9077124044928,1618.73533675742,37.4342735933561,30.3349692446953,45.7240492640159,"below solar"
"92",342,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_700f_NDCp","1.5°C",55.0965088381155,12182.5859231983,0.261456107687499,41.3430315044839,1753.3479039249,36.1532601649417,30.1126019186402,42.6154965309782,"below solar"
"93",343,"MESSAGEix-GLOBIOM_1.1_EN_INDCi2030_800f","2.0°C",34.67,11370.4503584616,0.164523731987438,46.7597413696689,1607.0271685927,37.8042633159259,29.9583390275167,46.7758566576754,"below solar"
