"","model_scenario","Category","Variable","2020","2030","2040","2050","2060","2070","2080","2090","2100"
"69","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|67.0th Percentile",1.2737191360394,1.59880880146732,1.75501861737985,1.81715760771643,1.82902254978718,1.83734037297276,1.82251702939928,1.81721847511515,1.81163364061815
"70","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|83.3th Percentile",1.34579748286799,1.70591659707182,1.88817695656545,2.00282978129876,2.02394941992583,2.05404333883709,2.06179530369209,2.07317356851442,2.07345791157028
"71","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile",1.38246630534555,1.79867224764599,2.0172988568445,2.16114038679836,2.21790856827868,2.25810967711912,2.280074889539,2.30258212346449,2.31071113517239
"72","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|95.0th Percentile",1.4421274565804,1.87029969670405,2.13415662648011,2.28957703009953,2.37102258492939,2.42017559312203,2.45836422828969,2.50013245214144,2.54311760476359
"73","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","Agricultural Demand",4044.9588,4565.82334519366,4750.22979330025,5039.37087023333,5514.20267624865,6144.62175087236,6723.68747630799,7394.75597386501,8018.35770159528
"74","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","Agricultural Demand|Crops",3470.953,4000.81272048437,4187.86365155135,4345.52189693698,4457.58981060723,4479.42255196644,4498.24033479619,4453.93771649295,4366.60742476767
"75","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","Agricultural Demand|Crops|Energy",292.8567,291.2075770595,289.294065472864,418.963063432654,776.550406974931,1387.09618186192,1944.05962616447,2660.24888622757,3374.17002407564
"76","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","Agricultural Demand|Crops|Energy|1st generation",292.8567,291.2075770595,289.294065472864,287.987041198061,287.059642445304,285.826608661916,284.491411390892,283.292748372288,282.561314637289
"77","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","Agricultural Demand|Crops|Energy|2nd generation",0,0,0,130.976022234593,489.490764529626,1101.26957320001,1659.56821477358,2376.95613785529,3091.60870943835
"78","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","Agricultural Demand|Crops|Feed",1255.071,1164.34672942859,1183.9944740569,1224.71877862074,1286.66249675427,1294.62502386357,1345.16815307443,1364.9532339056,1359.66832070171
"79","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","Agricultural Demand|Crops|Food",1758.5629,2247.29924740966,2376.73223743093,2468.9928537287,2509.7545594108,2522.2543220029,2496.70423840296,2445.09324595233,2379.39361158377
"80","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","Agricultural Demand|Crops|Other",457.3191,589.166743646125,627.136940063513,651.810264587542,661.172754442167,662.543206099964,656.367943318795,643.891236635022,627.545492482181
"81","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","Agricultural Demand|Livestock",281.1491,273.803047649781,273.072076276039,274.885909863693,280.062458666491,278.103017043996,281.387515347332,280.569371144485,277.580252751972
"82","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","Agricultural Demand|Livestock|Food",258.0787,250.646971070531,249.623228966049,250.792300150038,255.454723439514,254.11801094361,257.631515053714,257.421937933434,255.196111911169
"83","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","Agricultural Demand|Livestock|Other",23.0704,23.15607657925,23.4488473099899,24.0936097136555,24.6077352269764,23.9850061003857,23.7560002936186,23.1474332110514,22.3841408408022
"84","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","Agricultural Production",4044.9591,4567.54485374378,4759.20391582607,5049.32621223008,5529.90477363506,6148.97805355839,6700.51772862496,7362.56728413651,8001.77657918603
"85","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","Agricultural Production|Energy",0,0,0,130.976022234593,489.490764529626,1101.26957320001,1659.56821477358,2376.95613785529,3091.60870943835
"86","MESSAGEix-GLOBIOM_1.1_EN_NPi2020_1000_DR1p","C3","Agricultural Production|Energy|Crops",0,0,0,130.976022234593,489.490764529626,1101.26957320001,1659.56821477358,2376.95613785529,3091.60870943835
